source,slug,article_title,h2,first,status,reason,path
"json","appels-d-offres-btp-l-ia-comme-assistant-741614-8","Appels d'offres BTP : l'IA comme assistant","Questions fréquentes","Faut-il des compétences techniques pour utiliser l'IA en BTP ?","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741614-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741628-8","Appels d'offres BTP : l'IA comme assistant","En bref","L'IA et ChatGPT permettent aux professionnels du BTP de gagner du temps sur les devis, emails et documents administratifs.","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741628-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741628-8","Appels d'offres BTP : l'IA comme assistant","Définition","L'intelligence artificielle pour le BTP désigne l'utilisation d'outils comme ChatGPT pour automatiser la rédaction de devis, emails, comptes rendus et documents techniques.","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741628-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741628-8","Appels d'offres BTP : l'IA comme assistant","Points clés à retenir","Gain de temps moyen : 3 à 5h par semaine sur devis, emails et CR","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741628-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741628-8","Appels d'offres BTP : l'IA comme assistant","Exemple pratique","Exemple concret : un plombier qui rédige un devis de rénovation salle de bain complète en 15 min au lieu de 2h.","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741628-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741628-8","Appels d'offres BTP : l'IA comme assistant","Guide étape par étape","Identifier vos tâches chronophages : devis, emails clients, comptes rendus de chantier","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741628-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741628-8","Appels d'offres BTP : l'IA comme assistant","Questions fréquentes","Faut-il des compétences techniques pour utiliser l'IA en BTP ?","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741628-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741633-8","Appels d'offres BTP : l'IA comme assistant","En bref","L'IA et ChatGPT permettent aux professionnels du BTP de gagner du temps sur les devis, emails et documents administratifs.","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741633-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741633-8","Appels d'offres BTP : l'IA comme assistant","Définition","L'intelligence artificielle pour le BTP désigne l'utilisation d'outils comme ChatGPT pour automatiser la rédaction de devis, emails, comptes rendus et documents techniques.","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741633-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741633-8","Appels d'offres BTP : l'IA comme assistant","Points clés à retenir","Gain de temps moyen : 3 à 5h par semaine sur devis, emails et CR","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741633-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741633-8","Appels d'offres BTP : l'IA comme assistant","Exemple pratique","Exemple concret : un plombier qui rédige un devis de rénovation salle de bain complète en 15 min au lieu de 2h.","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741633-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741633-8","Appels d'offres BTP : l'IA comme assistant","Guide étape par étape","Identifier vos tâches chronophages : devis, emails clients, comptes rendus de chantier","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741633-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant-741633-8","Appels d'offres BTP : l'IA comme assistant","Questions fréquentes","Faut-il des compétences techniques pour utiliser l'IA en BTP ?","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant-741633-8.json"
"json","appels-d-offres-btp-l-ia-comme-assistant","Appels d'offres BTP : l'IA comme assistant","En bref","L'IA et ChatGPT permettent aux professionnels du BTP de gagner du temps sur les devis, emails et documents administratifs.","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant.json"
"json","appels-d-offres-btp-l-ia-comme-assistant","Appels d'offres BTP : l'IA comme assistant","Définition","L'intelligence artificielle pour le BTP désigne l'utilisation d'outils comme ChatGPT pour automatiser la rédaction de devis, emails, comptes rendus et documents techniques.","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant.json"
"json","appels-d-offres-btp-l-ia-comme-assistant","Appels d'offres BTP : l'IA comme assistant","Points clés à retenir","Gain de temps moyen : 3 à 5h par semaine sur devis, emails et CR","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant.json"
"json","appels-d-offres-btp-l-ia-comme-assistant","Appels d'offres BTP : l'IA comme assistant","Exemple pratique","Exemple concret : un plombier qui rédige un devis de rénovation salle de bain complète en 15 min au lieu de 2h.","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant.json"
"json","appels-d-offres-btp-l-ia-comme-assistant","Appels d'offres BTP : l'IA comme assistant","Guide étape par étape","Identifier vos tâches chronophages : devis, emails clients, comptes rendus de chantier","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant.json"
"json","appels-d-offres-btp-l-ia-comme-assistant","Appels d'offres BTP : l'IA comme assistant","Questions fréquentes","Faut-il des compétences techniques pour utiliser l'IA en BTP ?","OK","Synthèse/définition acceptable","content/generated/article-appels-d-offres-btp-l-ia-comme-assistant.json"
"json","automatiser-emails-clients-btp-ia","Automatiser ses emails clients avec l’IA (BTP)","En bref","Les emails clients (relances de devis, confirmations de rendez-vous, suivi de chantier) peuvent être préparés beaucoup plus vite avec un assistant IA.","OK","Synthèse/définition acceptable","content/generated/article-automatiser-emails-clients-btp-ia.json"
"json","automatiser-emails-clients-btp-ia","Automatiser ses emails clients avec l’IA (BTP)","Questions fréquentes","Le client verra-t-il que c’est de l’IA ?","OK","Synthèse/définition acceptable","content/generated/article-automatiser-emails-clients-btp-ia.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741594-9","Automatiser vos emails clients avec l'IA","En bref","L'IA et ChatGPT permettent aux professionnels du BTP de gagner du temps sur les devis, emails et documents administratifs.","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741594-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741594-9","Automatiser vos emails clients avec l'IA","Définition","L'intelligence artificielle pour le BTP désigne l'utilisation d'outils comme ChatGPT pour automatiser la rédaction de devis, emails, comptes rendus et documents techniques.","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741594-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741594-9","Automatiser vos emails clients avec l'IA","Points clés à retenir","Gain de temps moyen : 3 à 5h par semaine sur devis, emails et CR","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741594-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741594-9","Automatiser vos emails clients avec l'IA","Exemple pratique","Exemple concret : un plombier qui rédige un devis de rénovation salle de bain complète en 15 min au lieu de 2h.","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741594-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741594-9","Automatiser vos emails clients avec l'IA","Guide étape par étape","Identifier vos tâches chronophages : devis, emails clients, comptes rendus de chantier","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741594-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741594-9","Automatiser vos emails clients avec l'IA","Questions fréquentes","Faut-il des compétences techniques pour utiliser l'IA en BTP ?","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741594-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741613-9","Automatiser vos emails clients avec l'IA","En bref","L'IA et ChatGPT permettent aux professionnels du BTP de gagner du temps sur les devis, emails et documents administratifs.","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741613-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741613-9","Automatiser vos emails clients avec l'IA","Définition","L'intelligence artificielle pour le BTP désigne l'utilisation d'outils comme ChatGPT pour automatiser la rédaction de devis, emails, comptes rendus et documents techniques.","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741613-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741613-9","Automatiser vos emails clients avec l'IA","Points clés à retenir","Gain de temps moyen : 3 à 5h par semaine sur devis, emails et CR","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741613-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741613-9","Automatiser vos emails clients avec l'IA","Exemple pratique","Exemple concret : un plombier qui rédige un devis de rénovation salle de bain complète en 15 min au lieu de 2h.","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741613-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741613-9","Automatiser vos emails clients avec l'IA","Guide étape par étape","Identifier vos tâches chronophages : devis, emails clients, comptes rendus de chantier","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741613-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741613-9","Automatiser vos emails clients avec l'IA","Questions fréquentes","Faut-il des compétences techniques pour utiliser l'IA en BTP ?","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741613-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741627-9","Automatiser vos emails clients avec l'IA","En bref","L'IA et ChatGPT permettent aux professionnels du BTP de gagner du temps sur les devis, emails et documents administratifs.","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741627-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741627-9","Automatiser vos emails clients avec l'IA","Définition","L'intelligence artificielle pour le BTP désigne l'utilisation d'outils comme ChatGPT pour automatiser la rédaction de devis, emails, comptes rendus et documents techniques.","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741627-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741627-9","Automatiser vos emails clients avec l'IA","Points clés à retenir","Gain de temps moyen : 3 à 5h par semaine sur devis, emails et CR","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741627-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741627-9","Automatiser vos emails clients avec l'IA","Exemple pratique","Exemple concret : un plombier qui rédige un devis de rénovation salle de bain complète en 15 min au lieu de 2h.","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741627-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741627-9","Automatiser vos emails clients avec l'IA","Guide étape par étape","Identifier vos tâches chronophages : devis, emails clients, comptes rendus de chantier","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741627-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741627-9","Automatiser vos emails clients avec l'IA","Questions fréquentes","Faut-il des compétences techniques pour utiliser l'IA en BTP ?","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741627-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741632-9","Automatiser vos emails clients avec l'IA","En bref","L'IA et ChatGPT permettent aux professionnels du BTP de gagner du temps sur les devis, emails et documents administratifs.","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741632-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741632-9","Automatiser vos emails clients avec l'IA","Définition","L'intelligence artificielle pour le BTP désigne l'utilisation d'outils comme ChatGPT pour automatiser la rédaction de devis, emails, comptes rendus et documents techniques.","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741632-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741632-9","Automatiser vos emails clients avec l'IA","Points clés à retenir","Gain de temps moyen : 3 à 5h par semaine sur devis, emails et CR","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741632-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741632-9","Automatiser vos emails clients avec l'IA","Exemple pratique","Exemple concret : un plombier qui rédige un devis de rénovation salle de bain complète en 15 min au lieu de 2h.","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741632-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741632-9","Automatiser vos emails clients avec l'IA","Guide étape par étape","Identifier vos tâches chronophages : devis, emails clients, comptes rendus de chantier","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741632-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia-741632-9","Automatiser vos emails clients avec l'IA","Questions fréquentes","Faut-il des compétences techniques pour utiliser l'IA en BTP ?","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia-741632-9.json"
"json","automatiser-vos-emails-clients-avec-l-ia","Automatiser vos emails clients avec l'IA","En bref","L'IA et ChatGPT permettent aux professionnels du BTP de gagner du temps sur les devis, emails et documents administratifs.","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia.json"
"json","automatiser-vos-emails-clients-avec-l-ia","Automatiser vos emails clients avec l'IA","Définition","L'intelligence artificielle pour le BTP désigne l'utilisation d'outils comme ChatGPT pour automatiser la rédaction de devis, emails, comptes rendus et documents techniques.","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia.json"
"json","automatiser-vos-emails-clients-avec-l-ia","Automatiser vos emails clients avec l'IA","Points clés à retenir","Gain de temps moyen : 3 à 5h par semaine sur devis, emails et CR","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia.json"
"json","automatiser-vos-emails-clients-avec-l-ia","Automatiser vos emails clients avec l'IA","Exemple pratique","Exemple concret : un plombier qui rédige un devis de rénovation salle de bain complète en 15 min au lieu de 2h.","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia.json"
"json","automatiser-vos-emails-clients-avec-l-ia","Automatiser vos emails clients avec l'IA","Guide étape par étape","Identifier vos tâches chronophages : devis, emails clients, comptes rendus de chantier","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia.json"
"json","automatiser-vos-emails-clients-avec-l-ia","Automatiser vos emails clients avec l'IA","Questions fréquentes","Faut-il des compétences techniques pour utiliser l'IA en BTP ?","OK","Synthèse/définition acceptable","content/generated/article-automatiser-vos-emails-clients-avec-l-ia.json"
"json","chatgpt-artisans-btp-usages","ChatGPT pour professionnels du BTP BTP : 7 usages concrets pour gagner 5h par semaine","En bref","ChatGPT automatise 7 tâches critiques des professionnels du BTP BTP : devis, emails, comptes rendus, réseaux sociaux, appels d'offres, planification, formation d'équipe","OK","Synthèse/définition acceptable","content/generated/article-chatgpt-artisans-btp-usages.json"
"json","chatgpt-artisans-btp-usages","ChatGPT pour professionnels du BTP BTP : 7 usages concrets pour gagner 5h par semaine","5 prompts BTP prêts à copier-coller","Tu es un responsable commercial pour une entreprise BTP spécialisée en revêtement de sols et finitions.","OK","Synthèse/définition acceptable","content/generated/article-chatgpt-artisans-btp-usages.json"
"json","chatgpt-artisans-btp-usages","ChatGPT pour professionnels du BTP BTP : 7 usages concrets pour gagner 5h par semaine","FAQ — 6 questions que les professionnels du BTP BTP se posent","ChatGPT va-t-il remplacer les professionnels du BTP BTP ?","OK","Synthèse/définition acceptable","content/generated/article-chatgpt-artisans-btp-usages.json"
"json","chatgpt-btp-guide-complet","ChatGPT pour le BTP : guide complet","En bref","Ce guide présente comment utiliser ChatGPT dans une entreprise du bâtiment : devis, comptes rendus, emails et préparation de dossiers, sans remplacer votre expertise.","OK","Synthèse/définition acceptable","content/generated/article-chatgpt-btp-guide-complet.json"
"json","chatgpt-btp-guide-complet","ChatGPT pour le BTP : guide complet","Questions fréquentes","Faut-il savoir coder pour utiliser ChatGPT dans le BTP ?","OK","Synthèse/définition acceptable","content/generated/article-chatgpt-btp-guide-complet.json"
"json","chatgpt-conducteur-travaux-5-prompts-gagner-temps","ChatGPT conducteur de travaux : 5 prompts pour gagner 2 h par jour","Le problème en détail","Trois familles de tâches explosent le planning :","OK","Synthèse/définition acceptable","content/generated/article-chatgpt-conducteur-travaux-5-prompts-gagner-temps.json"
"json","chatgpt-conducteur-travaux-5-prompts-gagner-temps","ChatGPT conducteur de travaux : 5 prompts pour gagner 2 h par jour","Les 5 prompts (copier-coller puis adapter)","Tu es conducteur de travaux en France.","OK","Synthèse/définition acceptable","content/generated/article-chatgpt-conducteur-travaux-5-prompts-gagner-temps.json"
"json","chatgpt-conducteur-travaux-5-prompts-gagner-temps","ChatGPT conducteur de travaux : 5 prompts pour gagner 2 h par jour","Méthode pas à pas","Collecte : notes brutes (même imparfaites) juste après la visite — le CDT perd moins de temps que le soir.","OK","Synthèse/définition acceptable","content/generated/article-chatgpt-conducteur-travaux-5-prompts-gagner-temps.json"
"json","chatgpt-conducteur-travaux-5-prompts-gagner-temps","ChatGPT conducteur de travaux : 5 prompts pour gagner 2 h par jour","Résultats indicatifs (ordre de grandeur)","Les durées varient selon la complexité du marché et la qualité des notes sources.","OK","Synthèse/définition acceptable","content/generated/article-chatgpt-conducteur-travaux-5-prompts-gagner-temps.json"
"json","chatgpt-conducteur-travaux-5-prompts-gagner-temps","ChatGPT conducteur de travaux : 5 prompts pour gagner 2 h par jour","Accompagnement personnalisé","Vous voulez un cadre Qualiopi et des trames adaptées à votre entreprise ?","OK","Synthèse/définition acceptable","content/generated/article-chatgpt-conducteur-travaux-5-prompts-gagner-temps.json"
